mCode,mTitle,mUPC,mBrand,mIngredients,mNutrients,mPhoto,CurrUPC,ProductName,BrandName,ProductDesc,ProductScore,Subcatecory,Category
200,"Potato Crisps, BBQ",38000183713,Pringles,"DRIED POTATOES, VEGETABLE OIL (CORN, COTTONSEED, HIGH OLEIC SOYBEAN, AND/OR SUNFLOWER OIL), DEGERMINATED YELLOW CORN FLOUR, CORNSTARCH, RICE FLOUR, MALTODEXTRIN, SUGAR, MONO- AND DIGLYCERIDES.CONTAINS 2% OR LESS OF SALT, TOMATO POWDER, MONOSODIUM GLUTAMATE, CITRIC ACID, ONION POWDER, SPICE, GARLIC POWDER, YEAST EXTRACT, HYDROLYZED CORN PROTEIN, MALTED BARLEY FLOUR, MALIC ACID, DISODIUM INOSINATE, DISODIUM GUANYLATE, PAPRIKA EXTRACT COLOR, NATURAL FLAVORS, WHEY, WHEAT STARCH.",No Nutrient data,https://d1r9wva3zcpswd.cloudfront.net/5abb402a59e6180b69323a7d.jpeg,038000183713,Potato Chips,Pringles,"Potato Chips, Barbecue",10,"Chips, Puffs, & Snack Mix",Snacks
200,Radiatore Macaroni,41735045133,Price Chopper,,No Nutrient data,https://d1r9wva3zcpswd.cloudfront.net/56de476dc71a8df3585aac71.jpeg,041735045133,Pasta,Price Chopper,Radiatore Pasta,80,Bread Products,Grains
200,"Pie Crusts, 9 Inch",41268148288,Hannaford,"Enriched Bleached Flour [Wheat Flour, Niacin, Iron, Thiamin Mononitrate, (Vitamin B1), Riboflavin (Vitamin B2), Folic Acid], Wheat Starch, Lard and Hydrogenated Lard with BHT Added to Protect Flavor, Water, Sugar, Contains 2% or Less of Each of the Following: Salt, Xanthan Gum, Colored with (Yellow 5, Red 40), Citric Acid and Sodium Propionate and Potassium Sorbate Added to Retard Spoilage, Soy Flour.",No Nutrient data,https://d2eawub7utcl6.cloudfront.net/images/nix-apple-grey.png,041268148288,Hannaford Rolled Pie Crust 15 oz,Hannaford Supermarkets,Hannaford Rolled Pie Crust 15 oz,35,Pastries,Desserts
200,Hass Avocados,605806132001,Green Giant,avocado.,No Nutrient data,https://d1r9wva3zcpswd.cloudfront.net/5686457f5744e6f5111dfb1e.jpeg,605806132001,Hass Avocados,Green Giant,,100,Fresh,Produce
200,"Vinegar, White Distilled",41268113835,Hannaford,Grain and Water.,No Nutrient data,https://d1r9wva3zcpswd.cloudfront.net/54a16d3618bbfb146b5825ff.jpeg,041268113835,Hannaford White Distilled Vinegar 128 Oz,Hannaford Supermarkets,Hannaford White Distilled Vinegar 128 Oz,80,Vinegar & Cooking Wine,Oil vinegar dressing
200,Organic Cheddar Cheese & Pretzels,742365005961,Horizon,"Organic cheddar cheese (cultured pasteurized organic milk, salt, enzymes [non-animal, rennetless]), organic pretzels (organic wheat flour,organic malt, salt, organic soybean oil).",No Nutrient data,https://d1r9wva3zcpswd.cloudfront.net/58cb8c1dc72595302a02df88.jpeg,742365005961,Snack Pack,Horizon,Cheddar Cheese And Pretzels,13,Appetizers & Sides,Prepared meals
200,"Sandwich Thins, Honey Wheat",73410955789,Arnold,"WHOLE WHEAT FLOUR, WATER, UNBLEACHED ENRICHED WHEAT FLOUR [FLOUR, MALTED BARLEY FLOUR, REDUCED IRON, NIACIN, THIAMIN MONONITRATE (VITAMIN B1), RIBOFLAVIN (VITAMIN B2), FOLIC ACID], YEAST, BULGUR WHEAT, WHEAT GLUTEN, WHOLE WHEAT, HONEY, SUGAR, OLIVE OIL, SEA SALT, NATURAL FLAVORS, CELLULOSE FIBER, LEAVENING (SODIUM ACID PYROPHOSPHATE, BAKING SODA, MONOCALCIUM PHOSPHATE), PRESERVATIVES (CALCIUM PROPIONATE, SORBIC ACID), GRAIN VINEGAR, MONO-GLYCERIDES, CITRIC ACID, CORNSTARCH, DATEM, CELLULOSE GUM, XANTHAN GUM, SOY LECITHIN.",No Nutrient data,https://d1r9wva3zcpswd.cloudfront.net/5acdb47f876e52f076bdd382.jpeg,073410955789,Bread,Arnold,Honey Wheat Thin Sandwich Bread,65,Bread Products,Grains
404,NA,NA,NA,NA,NA,NA,084945500008,Wraps,Tumaros,9 Grain With Chia Wraps,75,Pasta & Noodles,Grains
200,Ground Turkey,11110968753,Kroger,"ground turkey, natural flavor",No Nutrient data,https://d1r9wva3zcpswd.cloudfront.net/54c341ac31429c323e404da8.jpeg,011110968753,Turkey,Kroger,"Ground Turkey, 85% Lean",70,Chicken & Poultry,Meats
200,Ditalini,41735045072,Price Chopper,,No Nutrient data,https://d1r9wva3zcpswd.cloudfront.net/54e7640ee5edd80952956dbd.jpeg,041735045072,Pasta,Price Chopper,Angel Hair Pasta,20,Pancakes & Waffles,Grains
